timestamp,src_ip,dst_ip,attack 
1773506870.7236454,192.168.1.34,224.0.0.252,Normal
1773506870.7406313,192.168.1.34,224.0.0.251,Normal
1773506871.0006888,192.168.1.35,224.0.0.251,Normal
1773506871.1773238,192.168.1.34,162.159.129.235,Normal
1773506871.2798407,162.159.129.235,192.168.1.34,Normal
1773506871.4117346,162.159.136.234,192.168.1.34,Normal
1773506871.5098119,192.168.1.34,162.159.136.234,Normal
1773506872.6400964,192.168.1.40,192.168.1.34,Normal
1773506872.6744375,192.168.1.34,192.168.1.40,Normal
1773506873.2468505,192.168.1.34,23.217.53.25,Normal
1773506873.2644355,23.217.53.25,192.168.1.34,Normal
1773506873.354155,162.159.129.235,192.168.1.34,Normal
1773506873.4397578,192.168.1.34,162.159.129.235,Normal
1773506874.4073024,34.139.124.58,192.168.1.34,Normal
1773506874.50609,162.159.128.233,192.168.1.34,Normal
1773506874.5477648,192.168.1.34,162.159.128.233,Normal
1773506874.8175228,162.159.136.234,192.168.1.34,Normal
1773506874.8618188,192.168.1.34,162.159.136.234,Normal
1773506875.6617584,52.123.164.85,192.168.1.34,Normal
1773506875.7113426,192.168.1.34,52.123.164.85,Normal
1773506876.6085184,34.139.124.58,192.168.1.34,Normal
1773506877.1483793,20.189.173.9,192.168.1.34,Normal
1773506877.1650002,192.168.1.34,20.189.173.9,Normal
1773506877.695998,192.168.1.40,192.168.1.34,Normal
1773506877.7128386,192.168.1.34,192.168.1.40,Normal
1773506880.067438,20.189.173.9,192.168.1.34,Normal
1773506880.1962087,192.168.1.34,34.49.39.67,Normal
1773506880.2191572,34.49.39.67,192.168.1.34,Normal
1773506880.2372055,192.168.1.34,49.128.160.13,Normal
1773506880.253591,192.168.1.34,49.128.160.13,Normal
1773506880.2746346,49.128.160.13,192.168.1.34,Normal
1773506880.2931616,49.128.160.13,192.168.1.34,Normal
1773506880.3101594,192.168.1.34,216.239.34.223,Normal
1773506880.329342,216.239.34.223,192.168.1.34,Normal
1773506881.1206815,140.82.114.21,192.168.1.34,Normal
1773506881.2104719,192.168.1.34,140.82.114.21,Normal
1773506881.2311358,192.168.1.34,140.82.114.21,Normal
1773506881.5544589,192.168.1.34,173.194.52.134,Normal
1773506881.5729506,173.194.52.134,192.168.1.34,Normal
1773506881.591414,192.168.1.34,140.82.114.21,Normal
1773506881.6086488,140.82.114.21,192.168.1.34,Normal
1773506881.6269867,140.82.114.21,192.168.1.34,Normal
1773506881.6451561,104.18.39.21,192.168.1.34,Normal
1773506881.6610713,192.168.1.34,104.18.39.21,Normal
1773506881.6773775,192.168.1.1,224.0.0.1,Normal
1773506882.150159,20.189.173.9,192.168.1.34,Normal
1773506882.4764585,192.168.1.34,20.192.44.82,Normal
1773506882.499544,20.192.44.82,192.168.1.34,Normal
1773506882.616637,192.168.1.34,140.82.114.26,Normal
1773506882.7195497,192.168.1.40,192.168.1.34,Normal
1773506882.7583938,192.168.1.34,192.168.1.40,Normal
1773506882.8737721,104.18.32.47,192.168.1.34,Normal
1773506882.89392,192.168.1.34,104.18.32.47,Normal
1773506882.9568982,140.82.114.26,192.168.1.34,Normal
1773506883.0024984,34.139.124.58,192.168.1.34,Normal
1773506884.0389314,192.168.1.34,151.101.2.217,Normal
1773506884.056512,151.101.2.217,192.168.1.34,Normal
1773506884.538268,20.192.44.82,192.168.1.34,Normal
1773506884.5610266,192.168.1.34,20.192.44.82,Normal
1773506884.7115657,192.168.1.34,224.0.0.251,Normal
1773506884.7292125,192.168.1.34,23.98.86.4,Normal
1773506884.7893906,23.98.86.4,192.168.1.34,Normal
1773507442.5071995,192.168.1.40,192.168.1.34,Normal
1773507442.527262,192.168.1.34,192.168.1.40,Normal
1773507443.0099955,192.168.1.34,20.50.201.200,Normal
1773507443.02721,20.50.201.200,192.168.1.34,Normal
1773507443.0689654,192.168.1.34,192.178.211.188,Normal
1773507443.0873525,192.178.211.188,192.168.1.34,Normal
1773507443.4482944,162.159.136.234,192.168.1.34,Normal
1773507443.519778,192.168.1.34,162.159.136.234,Normal
1773507444.4106343,192.168.1.34,142.251.220.78,Normal
1773507444.4282382,142.251.220.78,192.168.1.34,Normal
1773507444.462719,34.139.124.58,192.168.1.34,Normal
1773507444.765869,192.168.1.34,23.215.4.153,Normal
1773507444.811686,23.215.4.153,192.168.1.34,Normal
1773507445.982128,192.168.1.34,52.108.9.12,Normal
1773507445.9991727,52.108.9.12,192.168.1.34,Normal
1773507446.694159,192.168.1.34,49.128.160.13,Normal
1773507446.7259405,192.168.1.34,49.128.160.13,Normal
1773507446.7589183,49.128.160.13,192.168.1.34,Normal
1773507446.8021963,49.128.160.13,192.168.1.34,Normal
1773507446.837426,192.168.1.34,239.255.255.250,Normal
1773507446.8555412,34.139.124.58,192.168.1.34,Normal
1773507447.208422,192.168.1.34,224.0.0.252,Normal
1773507447.4491837,192.168.1.34,192.168.1.40,Normal
1773507447.4663434,23.98.86.4,192.168.1.34,Normal
1773507447.4844313,192.168.1.34,20.192.44.82,Normal
1773507447.5002997,192.168.1.34,23.98.86.4,Normal
1773507447.525728,192.168.1.40,192.168.1.34,Normal
1773507447.5631585,20.192.44.82,192.168.1.34,Normal
1773507448.1620252,162.159.129.235,192.168.1.34,Normal
1773507448.21851,192.168.1.34,162.159.129.235,Normal
1773507449.6108694,192.168.1.34,74.125.250.129,Normal
1773507449.6268606,74.125.250.129,192.168.1.34,Normal
1773507450.3460042,192.168.1.34,103.180.115.14,Normal
1773507450.392946,103.180.115.14,192.168.1.34,Normal
1773507450.8612804,34.139.124.58,192.168.1.34,Normal
1773507450.8780556,162.159.129.235,192.168.1.34,Normal
1773507450.8939931,192.168.1.34,162.159.129.235,Normal
1773507450.9877737,52.108.186.3,192.168.1.34,Normal
1773507451.0214303,192.168.1.34,52.108.186.3,Normal
1773507451.2103372,52.123.164.109,192.168.1.34,Normal
1773507451.2366724,192.168.1.34,52.123.164.109,Normal
1773507451.2535772,192.168.1.1,224.0.0.1,Normal
1773507452.499576,192.168.1.34,192.168.1.40,Normal
1773507452.6302254,192.168.1.40,192.168.1.34,Normal
1773507453.2760882,150.171.22.12,192.168.1.34,Normal
1773507453.3208933,192.168.1.34,150.171.22.12,Normal
1773507453.633417,13.204.106.34,192.168.1.34,Normal
1773507453.6573532,192.168.1.34,13.204.106.34,Normal
1773507453.823069,192.168.1.1,224.0.0.1,Normal
1773507454.2350922,192.168.1.34,224.0.0.251,Normal
1773507454.5429294,52.168.112.66,192.168.1.34,Normal
1773507454.5627334,192.168.1.34,52.168.112.66,Normal
1773507454.7211776,192.168.1.34,23.98.86.4,Normal
1773507454.7414017,192.168.1.34,104.29.138.176,Normal
1773507454.7797225,104.29.138.176,192.168.1.34,Normal
1773507454.8419676,23.98.86.4,192.168.1.34,Normal
1773507455.3792722,192.168.1.34,162.159.129.235,Normal
1773507455.4087865,162.159.129.235,192.168.1.34,Normal
1773507457.3015604,52.168.112.66,192.168.1.34,Normal
1773507457.3285668,34.139.124.58,192.168.1.34,Normal
1773507457.3561924,192.168.1.34,20.192.44.82,Normal
1773507457.3769512,20.192.44.82,192.168.1.34,Normal
1773507457.4075336,192.168.1.34,34.139.124.58,Normal
1773507457.5692444,192.168.1.40,192.168.1.34,Normal
1773507457.6006682,192.168.1.34,192.168.1.40,Normal
1773507460.4473927,192.168.1.34,172.217.159.70,Normal
1773507460.462774,172.217.159.70,192.168.1.34,Normal
1773507460.4865718,192.168.1.34,172.64.155.209,Normal
1773507460.5024023,172.64.155.209,192.168.1.34,Normal
1773507460.7058675,192.168.1.34,239.255.255.250,Normal
1773507461.150486,162.159.136.234,192.168.1.34,Normal
1773507461.176772,192.168.1.34,162.159.136.234,Normal
1773507461.5301082,104.18.39.21,192.168.1.34,Normal
1773507461.5489662,192.168.1.34,104.18.39.21,Normal
1773507462.6503973,192.168.1.34,192.168.1.40,Normal
1773507462.6684086,192.168.1.40,192.168.1.34,Normal
1773507463.130218,192.168.1.34,52.168.112.66,Normal
1773507463.1479821,52.168.112.66,192.168.1.34,Normal
1773507463.4916763,192.168.1.34,20.192.44.82,Normal
1773507463.5146198,20.192.44.82,192.168.1.34,Normal
1773507463.7878428,34.139.124.58,192.168.1.34,Normal
1773507464.306418,23.217.53.22,192.168.1.34,Normal
1773507464.3228612,192.168.1.34,23.217.53.22,Normal
1773507464.60935,162.159.129.235,192.168.1.34,Normal
1773507464.636171,192.168.1.34,162.159.129.235,Normal
1773507466.2516565,192.168.1.34,10.100.103.33,Normal
1773507466.2699635,192.168.1.34,10.110.9.134,Normal
1773507466.2855968,192.168.1.34,10.125.162.118,Normal
